"latin name","polish name","english name","category","status"
"Motacilla cinerea","pliszka górska","Grey wagtail","A","L"
"Motacilla citreola","pliszka cytrynowa","Citrine wagtail","A","L P"
"Motacilla tschutschensis","pliszka syberyjska","Eastern yellow wagtail","A","z"
"Motacilla alba","pliszka siwa","White wagtail","A","L"
"Fringilla coelebs","zięba","Eurasian chaffinch","A","L"
"Fringilla montifringilla","jer","Brambling","A","P"
"Coccothraustes coccothraustes","grubodziób","Hawfinch","A","L"
"Carpodacus erythrinus","dziwonia","Common rosefinch","A","L"
"Pinicola enucleator","łuskowiec","Pine grosbeak","A","Z"
"Pyrrhula pyrrhula","gil","Eurasian bullfinch","A","L"
"Bucanetes githagineus","gilak pustynny","Trumpeter finch","A","z"
"Chloris chloris","dzwoniec","European greenfinch","A","L"
"Linaria cannabina","makolągwa","Common linnet","A","L"
"Linaria flavirostris","rzepołuch","Twite","A","P"
"Acanthis cabaret","czeczotka brązowa","Lesser redpoll","A","L"
"Acanthis flammea","czeczotka","Common redpoll","A","P"
"Acanthis hornemanni","czeczotka tundrowa","Arctic redpoll","A","Z"
"Loxia pytyopsittacus","krzyżodziób sosnowy","Parrot crossbill","A","(l) Z"
"Loxia curvirostra","krzyżodziób świerkowy","Red crossbill","A","L"
"Loxia leucoptera","krzyżodziób modrzewiowy","Two-barred crossbill","A","Z"
"Carduelis carduelis","szczygieł","European goldfinch","A","L"
"Carduelis citrinella","osetnik","Citril finch","A","z"
"Serinus serinus","kulczyk","European serin","A","L"
"Spinus spinus","czyż","Eurasian siskin","A","L"
"Calcarius lapponicus","poświerka","Lapland longspur","A","P"
"Plectrophenax nivalis","śnieguła","Snow bunting","A","P"
"Emberiza melanocephala","trznadel czarnogłowy","Black-headed bunting","A","z"
"Emberiza bruniceps","trznadel rudogłowy","Red-headed bunting","A","z"
"Emberiza calandra","potrzeszcz","Corn bunting","A","L"
"Emberiza cia","głuszek","Rock bunting","A","z"
"Emberiza hortulana","ortolan","Ortolan bunting","A","L"
"Emberiza cirlus","cierlik","Cirl bunting","A","z"
"Emberiza citrinella","trznadel","Yellowhammer","A","L"
"Emberiza leucocephalos","trznadel białogłowy","Pine bunting","A","(l) z"
"Emberiza spodocephala","trznadel szarogłowy","Black-faced bunting","A","z"
"Emberiza schoeniclus","potrzos","Common reed bunting","A","L"
"Emberiza rustica","trznadel czubaty","Rustic bunting","A","Z"
"Emberiza pusilla","trznadelek","Little bunting","A","Z"
"Emberiza aureola","trznadel złotawy","Yellow-breasted bunting","A","z"
"Emberiza chrysophrys","trznadel złotobrewy","Yellow-browed bunting","A","z"
"Junco hyemalis","junko","Dark-eyed junco","A","z"
"Passerculus sandwichensis","bagiennik żółtobrewy","Savannah sparrow","A","z"
