"latin name","polish name","english name","category","status"
"Anarhynchus atrifrons","sieweczka tybetańska","Tibetan sand plover","A","z"
"Anarhynchus leschenaultii","sieweczka pustynna","Greater sand plover","A","Z"
"Anarhynchus alexandrinus","sieweczka morska","Kentish plover","A","l Z"
"Numenius phaeopus","kulik mniejszy","Eurasian whimbrel","A","P"
"Numenius tenuirostris","kulik cienkodzioby","Slender-billed curlew","A","z"
"Numenius arquata","kulik wielki","Eurasian curlew","A","L"
"Limosa lapponica","szlamnik","Bar-tailed godwit","A","P"
"Limosa limosa","rycyk","Black-tailed godwit","A","L"
"Arenaria interpres","kamusznik","Ruddy turnstone","A","P"
"Calidris tenuirostris","biegus wielki","Great knot","A","z"
"Calidris canutus","biegus rdzawy","Red knot","A","P"
"Calidris pugnax","batalion","Ruff","A","l P"
"Calidris falcinellus","biegus płaskodzioby","Broad-billed sandpiper","A","P"
"Calidris acuminata","biegus ostrosterny","Sharp-tailed sandpiper","A","z"
"Calidris ferruginea","biegus krzywodzioby","Curlew sandpiper","A","P"
"Calidris temminckii","biegus mały","Temminck's stint","A","P"
"Calidris alba","piaskowiec","Sanderling","A","P"
"Calidris alpina","biegus zmienny","Dunlin","A","(l) P"
"Calidris maritima","biegus morski","Purple sandpiper","A","Z"
"Calidris bairdii","biegus długoskrzydły","Baird's sandpiper","A","z"
"Calidris minuta","biegus malutki","Little stint","A","P"
"Calidris minutilla","biegus karłowaty","Least sandpiper","A","z"
"Calidris fuscicollis","biegus białorzytny","White-rumped sandpiper","A","Z"
"Calidris subruficollis","biegus płowy","Buff-breasted sandpiper","A","Z"
"Calidris melanotos","biegus arktyczny","Pectoral sandpiper","A","Z"
"Calidris pusilla","biegus tundrowy","Semipalmated sandpiper","A","z"
"Limnodromus scolopaceus","szlamiec długodzioby","Long-billed dowitcher","A","z"
"Scolopax rusticola","słonka","Eurasian woodcock","A","L"
"Gallinago media","dubelt","Great snipe","A","L"
"Gallinago gallinago","kszyk","Common snipe","A","L"
"Lymnocryptes minimus","bekasik","Jack snipe","A","(l) P"
"Xenus cinereus","terekia","Terek sandpiper","A","Z"
"Actitis hypoleucos","brodziec piskliwy","Common sandpiper","A","L"
"Actitis macularius","brodziec plamisty","Spotted sandpiper","A","Z"
"Tringa ochropus","samotnik","Green sandpiper","A","L"
"Tringa flavipes","brodziec żółtonogi","Lesser yellowlegs","A","z"
"Tringa erythropus","brodziec śniady","Spotted redshank","A","P"
"Tringa nebularia","kwokacz","Common greenshank","A","P"
"Tringa melanoleuca","brodziec piegowaty","Greater yellowlegs","A","z"
"Tringa totanus","krwawodziób","Common redshank","A","L"
"Tringa glareola","łęczak","Wood sandpiper","A","l P"
"Tringa stagnatilis","brodziec pławny","Marsh sandpiper","A","l P"
"Phalaropus lobatus","płatkonóg szydłodzioby","Red-necked phalarope","A","P"
"Phalaropus fulicarius","płatkonóg płaskodzioby","Red phalarope","A","Z"
"Glareola pratincola","żwirowiec łąkowy","Collared pratincole","A","Z"
"Glareola nordmanni","żwirowiec stepowy","Black-winged pratincole","A","Z"
"Fratercula arctica","maskonur","Atlantic puffin","A","Z"
